Experiment ID,Primary target structure,Group,Layer,transgenic-line,strain,gender,injection-coordinates,injection-volume
100140756,MOs,FrA,All,WT,C57BL/6J,M,"[2400, 2600, 7100]",0.124482
100140949,RSPv,Rsp,All,WT,C57BL/6J,M,"[7700, 1200, 6000]",0.117875
100141219,VISp,Vis,All,WT,C57BL/6J,M,"[9100, 1300, 8000]",0.173612
100141599,VISam,Vis,All,WT,C57BL/6J,M,"[8100, 1000, 7300]",0.119866
100141796,VISl,Vis,All,WT,C57BL/6J,M,"[9400, 2400, 9300]",0.158867
100142655,SSp-tr,S1/2,All,WT,C57BL/6J,M,"[7000, 1600, 8200]",0.11662
100148142,RSP,Rsp,All,WT,C57BL/6J,M,"[7200, 1200, 6000]",0.07169
100149109,AUDp,Aud,All,WT,C57BL/6J,M,"[7800, 2800, 9800]",0.049439
112162251,SSp-bfd,S1/2,All,WT,C57BL/6J,M,"[5700, 2100, 9300]",0.117388
112229103,PTLp,Ptl,All,WT,C57BL/6J,M,"[7700, 1000, 6800]",0.03226
112306316,ORBl,LO/VO,All,WT,C57BL/6J,M,"[3100, 3500, 7000]",0.324949
112595376,RSPv,Rsp,All,WT,C57BL/6J,M,"[8600, 1600, 6800]",0.066831
112596790,AI,AI/GI/DI,All,WT,C57BL/6J,M,"[3800, 4300, 8600]",0.294591
112670853,MOp,M1/2,All,WT,C57BL/6J,M,"[3100, 2600, 8000]",0.214222
112881858,AUDv,Aud,All,WT,C57BL/6J,M,"[8300, 3400, 10000]",0.086969
112936582,SSp-m,S1/2,All,WT,C57BL/6J,M,"[4600, 2700, 8900]",0.175167
113144533,BLAa,Amyg,All,WT,C57BL/6J,M,"[6700, 5800, 8900]",0.310123
113887162,VISp,Vis,All,WT,C57BL/6J,M,"[8300, 1300, 8100]",0.35562
116903968,VISal,Vis,All,WT,C57BL/6J,M,"[8900, 1800, 9000]",0.156213
117298988,SSs,S1/2,All,WT,C57BL/6J,M,"[6400, 3700, 9700]",0.282782
120491896,AUDp,Aud,All,WT,C57BL/6J,M,"[7900, 3000, 9800]",0.064253
120814821,MOp,M1/2,L5,Rbp4-Cre_KL100,unknown,F,"[4100, 2200, 7300]",0.156917
120875816,SSp-bfd,S1/2,L5,Rbp4-Cre_KL100,unknown,F,"[5900, 2100, 8800]",0.079808
121510421,VISp,Vis,L5,Rbp4-Cre_KL100,unknown,F,"[9400, 1400, 8000]",0.035524
122641784,SUBv,Sub,All,WT,C57BL/6J,M,"[8100, 5400, 8900]",0.056891
125832322,BMAp,Amyg,All,WT,C57BL/6J,M,"[7300, 6200, 8500]",0.253454
126117554,ACAv,d/vACC,L5,Rbp4-Cre_KL100,unknown,M,"[5200, 2400, 6100]",0.142052
126908007,SSp-bfd,S1/2,All,WT,C57BL/6J,M,"[5800, 2000, 9200]",0.325616
127222723,SUBv,Sub,All,WT,C57BL/6J,M,"[9100, 4200, 9300]",0.50004
127649005,CA3,Sub,All,WT,C57BL/6J,M,"[8100, 4900, 8500]",0.540497
127795906,SUBd,Sub,All,WT,C57BL/6J,M,"[8900, 2300, 8100]",0.28667
139426984,ACAd,d/vACC,All,WT,C57BL/6J,M,"[5300, 1900, 5900]",0.086324
139520203,ACAv,d/vACC,All,WT,C57BL/6J,M,"[5400, 1900, 6000]",0.116901
141602484,MOp,M1/2,All,WT,C57BL/6J,M,"[4200, 1900, 7300]",0.180769
142656218,PERI,Ect/Peri/Tem,All,WT,C57BL/6J,M,"[9400, 3800, 9800]",0.123722
146077302,VISam,Vis,All,WT,C57BL/6J,M,"[8600, 900, 7200]",0.052389
146858006,AUDd,Aud,All,WT,C57BL/6J,M,"[8600, 2500, 9800]",0.084186
152994878,SUBv,Sub,All,WT,C57BL/6J,M,"[9300, 4100, 9300]",0.116975
156394513,MOp,M1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[3800, 2100, 7100]",0.104113
156493815,AUDp,Aud,L5,Etv1-CreERT2,B6.Cg,F,"[7800, 2600, 9700]",0.2045
156741826,ORBl,LO/VO,L5,Rbp4-Cre_KL100,unknown,M,"[2600, 3700, 7100]",0.397148
157062358,TEa,Ect/Peri/Tem,All,WT,C57BL/6J,M,"[9500, 2800, 9600]",0.060422
157063781,SUBd,Sub,All,WT,C57BL/6J,M,"[8900, 2200, 8100]",0.113087
157556400,ILA,IL,All,WT,C57BL/6J,M,"[4000, 3700, 6200]",0.105299
157654817,SSp-m,S1/2,All,WT,C57BL/6J,M,"[4200, 3400, 9200]",0.095364
157710335,MOs,FrA,All,WT,C57BL/6J,M,"[2600, 2700, 7400]",0.087187
157711748,PL,PrL/MO,All,WT,C57BL/6J,M,"[3200, 3300, 6100]",0.108321
158255941,VISp,Vis,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[9400, 1400, 8300]",0.039007
158314278,AUDd,Aud,All,WT,C57BL/6J,M,"[7900, 2300, 9700]",0.243249
158435116,ORBvl,LO/VO,All,WT,C57BL/6J,M,"[2900, 3800, 6700]",0.125197
159319654,ACAv,d/vACC,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[5200, 2100, 6000]",0.045202
159832064,RSPv,Rsp,L5,Rbp4-Cre_KL100,unknown,F,"[7800, 1400, 6000]",0.117248
161458737,ACAd,d/vACC,L5,Rbp4-Cre_KL100,unknown,F,"[4600, 2400, 6000]",0.35836
166054929,RSPd,Rsp,L5,Rbp4-Cre_KL100,unknown,M,"[8500, 1000, 6100]",0.250529
166082128,MOp,M1/2,L5,Rbp4-Cre_KL100,unknown,M,"[3300, 2400, 7800]",0.322731
166083557,TEa,Ect/Peri/Tem,L5,Rbp4-Cre_KL100,unknown,F,"[9600, 2800, 9500]",0.143854
