Cortical plate derived subregions,,,
Abbreviation,Expanded name,AMBA Location,PMBA Location
AI/GI/DI,anterior insular cortex,AI (all subregions) + GU + VISC,AI + DI + GI
Aud,auditory cortex,AUD (all subregions),Au1 + AuD + AuV
Amyg,amygdala,BLA+ BMA,BLA + BMP 
dACC,dorsal anterior cingulate cortex,ACAd,Cg1 
FrA,frontal association area ,FRP + MOs (bregma 2.4 to 3.1 mm),FrA
IL,infralimbic cortex ,ILA,IL
LO,lateral orbital cortex ,ORBl,LO + DLO
M1/2,primary motor area,"MO (all subregions, excluding FrA)",M1 +M2
MO,medial orbital cortex ,ORBm,MO
Piri,piriform cortex,PIR,Pir
PrL,prelimbic cortex,PL,PrL 
Ptl,parietal association cortex,PTL (all subregions),MPtA + LPtA + PtPR + PtPD
Rhi,ecto-/peri-/ento-rhinal cortex,ECT + ENT +PERI,Ect + Ent + PRh + Lent
Rsp,retrosplenial cortex,RSP (all subregions),RSA + RSG
S1/2,sensory cortex,SS (all subregions),S1 (all subregions) + S2
Sub,subiculum,SUB (all subregions) + CA1,S (all subregions)
Tem,temporal association cortex,TEa ,TeA
vACC,ventral anterior cingulate cortex,ACAv,Cg2
Vis,visual cortex,VIS (all subregions),V1 + All visual subregions
VO,ventral orbital cortex ,ORBvl,VO
,,,
Thalamic nuclei,,,
Abbreviation,Expanded name,,Location
AD,anterodorsal nucleus,AD,AD
AM,anteromedial nucleus,AMd + AMv ,AM + AMV
AV,anteroventral nucleus,AV,AV + AVDM + AVVL
CL,central lateral nucleus,CL,CL
CM,central medial nucleus,CM,CM
IAD,interanterodorsal nucleus,IAD,IAD
IAM,interanteromedial nucleus,IAM,IAM
IMD,intermediodorsal nucleus,IMD,IMD
LD,laterodorsal nucleus,LD,LD + LDVL + LDDM
LG,lateral geniculate nucleus,LG (LGd + LGv + IGL),VLG + DLG + VLG + IGL
LP,lateral posterior nucleus,LP,LP + LPLR + LPMP + LPMC
MD,mediodorsal nucleus,MD (MDl + MDm + MDc),MDC + MDL + MDM
MG,medial geniculate nucleus,MG (MGm + MGv + MGd),MGD + MGV + MGM
PCN,paracentral nucleus,PCN,PC + OPC
Pf,parafascicular nucleus,PF,Pf
Po,posterior nucleus,PO,Po
PR,perireuniens nucleus,PR,vRe
PT,parataenial nucleus,PT,PT
PVT,paraventricular nucleus,PVT,PVA + PV
Re,reuniens nucleus,RE,Re
RH,rhomboid nucleus,RH,Rh
SM,submedius nucleus,SMT,Sub
VAL,ventral anterior-lateral complex,VAL,VA + VL
VM,ventromedial nucleus,VM,VM
VPL,ventral posterolateral nucleus ,VPL + VPLpc,VPL + VPLpc
VPM,ventral posteromedial nucleus,VPM + VPMpc,VPM + VPMpc
,,,
Other,,,
Abbreviation,Expanded name,,
AIBS,Allen Institute for Brain Science,,
PMBA,Paxinos Mouse Brain Atlas,,
AMBA,AIBS Mouse Brain Atlas,,
DM,dorsomedial,,
D-V,dorsal to ventral,,
A-P,anterior to posterior,,
M-L,medial to lateral,,
NAc ,nucleus accumbens,,
VL,lateral ventricle,,
GPe ,globus pallidus,,
cc,corpus callosum,,
,,,
,,,
